index,X,Y,Z,val,feature_name,strike,dip
153,1483957.4880065066,5260436.189827687,0.0,0.0,Hope fault,,
154,1489770.683374385,5261166.810010513,0.0,0.0,Hope fault,,
155,1495414.4595694258,5262839.824342236,0.0,0.0,Hope fault,,
156,1498771.0769312049,5265365.228887289,0.0,0.0,Hope fault,,
157,1501608.848076179,5266207.030402304,0.0,0.0,Hope fault,,
158,1506982.859225677,5268408.498063699,0.0,0.0,Hope fault,,
159,1508703.275938613,5268875.382374432,0.0,0.0,Hope fault,,
160,1519747.8204499956,5272930.787390949,0.0,0.0,Hope fault,,
161,1533762.5453701369,5277971.704025712,0.0,0.0,Hope fault,,
162,1544745.9365607,5282434.3861904405,0.0,0.0,Hope fault,,
163,1553508.429940129,5283160.408247832,0.0,0.0,Hope fault,,
164,1561606.8314222686,5284136.530357691,0.0,0.0,Hope fault,,
165,1568074.1073187254,5285166.094712251,0.0,0.0,Hope fault,,
166,1570615.3949112415,5285949.658386609,0.0,0.0,Hope fault,,
167,1573050.7955207354,5287305.011769281,0.0,0.0,Hope fault,,
168,1575100.4172228193,5285979.779119683,0.0,0.0,Hope fault,,
169,1579899.0361476438,5286076.722766234,0.0,0.0,Hope fault,,
170,1686223.284270239,5412444.778645115,0.0,0.0,Alpine Fault,,
171,1678545.2593074853,5407366.55952675,0.0,0.0,Alpine Fault,,
172,1672253.0186513008,5404648.8652816005,0.0,0.0,Alpine Fault,,
173,1665618.4264365558,5403365.862579938,0.0,0.0,Alpine Fault,,
174,1657315.8203392562,5401552.135000966,0.0,0.0,Alpine Fault,,
175,1646394.9819899278,5397952.959530614,0.0,0.0,Alpine Fault,,
176,1640260.5599851666,5395568.994075057,0.0,0.0,Alpine Fault,,
177,1626116.7078032857,5391063.763911311,0.0,0.0,Alpine Fault,,
178,1616575.1333826676,5386972.231702892,0.0,0.0,Alpine Fault,,
179,1606234.8613161931,5381439.523316183,0.0,0.0,Alpine Fault,,
180,1595103.0424212974,5375806.2839686265,0.0,0.0,Alpine Fault,,
181,1582198.177416924,5369084.020079827,0.0,0.0,Alpine Fault,,
182,1570495.951869696,5358959.541893384,0.0,0.0,Alpine Fault,,
183,1566750.4079300694,5355866.567990007,0.0,0.0,Alpine Fault,,
184,1563096.8676302207,5352907.060209485,0.0,0.0,Alpine Fault,,
185,1558786.4101857808,5348117.128703532,0.0,0.0,Alpine Fault,,
